id,tweet,username,sentimen
1477301019759443968,"Yang stay di jogja boleh dong rekomendasi kuliner lokalnya macem (sate klatak, mie bnteng dll), thank you fren 👍🏻",neonjuuhachi,positif
1477287940892024832,Wisata kuliner di Jogja memang tak ada habisnya. Selama 24 jam ada makanan yang bisa memanjakan lidah. Termasuk kuliner malamnya yang enak dan murah meriah.  https://t.co/V9gtFaRU2M,detikcom,positif
1477264251848826880,"Pgn deh sekali2 hunting kuliner gt d jogja, enggaa coffeeshop hopping mulu☹️",tikaayul,negatif
1477254427098505216,Saran kuliner/tempat wisata di jogja dongg hihi,fiaschce,netral
1477250049587384324,Sate klathak pak pong kuliner mainstream wisatawan ke jogja .  https://t.co/ngx265DQou,vicky_achmad,positif
1477234567182381056,"5 Kuliner Malam Jogja, Bisa Makan Enak dan Murah Hingga Dini Hari  https://t.co/b8SpsXkbc0",detikfood,positif
1477225096431366146,kemaren nemu list kuliner jogja lengkap lupa di bookmark ajg sebel,Zydnie8,negatif
1477219315954831360,Orderan gofuut pertama di 2022 fess bersyukur bgt tiap ada yg beli baik yg dateng lgsg maupun via appps. Aku doakan semoga kita semua para pejuang umkm kuliner bisa semakin laris di tahun ini. From es cendol SI GEBOY jogja 💚  https://t.co/k5DlOVfJN1,FFOODFESS,positif
1477164902972157952,"@sinemasisifus @ninowahyu tempat apa no yg bisa dikunjungi di solo? Kalo di jogja kan banyaaak tuh destinasi wisata dan kuliner, kalo solo, wisatanya apa? Pgn ke jogja tp agak serem sama klitih ini",koremoonksjin,negatif
1477138634981601280,"@araaichi U tau kan rumahku di pusat Kota Jogja, 2 menit dari Keraton, 3 menit dari stasiun Lempuyangan, 5 menit dari Malioboro, dekat dengan halte Trans Jogja, pasar, supermarket, mall, rumah sakit, sekolah dan pusat kuliner + hiburan. Ada saran yang lebih kotaan dikit gak...",omwiki,negatif
1477129956878532609,Lotis Gunung Kidul | Rujak paduan eksotik jambu mete andalan Gunung Kidul yang memiliki rasa sepat asam dan daun pepaya dengan rasa pahitnya. | #Jogja #kuliner  https://t.co/VEk8Hg9jOE,infobudaya,positif
1477095878598926341,"@mardiasih Pengin solo travel ke Jogja, mampir ke beberapa toko buku, ke Jogja galery, jalan jalan nyoba kuliner disana",IyaLinda_,positif
1477094952643432449,"@sinemasisifus Klitih itu trjd diatas jam 12 saat jalan sepi. Brani braksi saat rame = bnh diri. Jogja aman² aja. Wisata, kuliner?  https://t.co/X4oBeF76nU",satria_preda,negatif
1477091908027518976,@wikan_bagas @sinemasisifus solo kuliner nya lebih murah dari jogja pokonya,priecehoney,negatif
1477776102152183808,Baru saja mengirim foto @ Taman Kuliner Condongcatur  https://t.co/YCPM27RQPg,haohao_jogja,netral
1477651655361400835,"Makan enak dengan pengalaman beda itu di sini kepik sawah, resto pengilon, watoe gadjah, marisini coffee #kanaljogja #makanenak #kulinerjogja   https://t.co/4xPrmR9r4H",kanaljogja,positif
1477587754049409027,"klo masalah makanan, jogja vs  solo ya menang solo kemana2 hahahaa.  Kuliner solo lbh progresif &amp; mampu menyesuaikan lidah dgn kultur belanda, jd variasi makanan lbh byk drpd jogja ygb""jawa bgt"".  Ni ada hubungannya ma sejarah krn mmg kan dl kraton solo ""lbh lunak"" ke belanda gt.",2k80525,positif
1477576799337041923,Baru saja mengirim foto @ Taman Kuliner Condongcatur  https://t.co/EPxzGXkyzP,haohao_jogja,netral
1477563318390824963,"Mie Kopyok Mbah Waji, Kuliner Nikmat Legendaris di Jogja  https://t.co/MFIqRQUu2T",dityatuxlin,positif
1477532578055741440,"Jog ku mas ndutan hobi kulineran, siapa yg mau mutual kita kuliner bareng jogja-solo",jogjamnfs,netral
