id,tweet,username,sentiment
1.48E+18,"Yang stay di jogja boleh dong rekomendasi kuliner lokalnya macem (sate klatak, mie bnteng dll), thank you fren 👍🏻",neonjuuhachi,netral
1.48E+18,Wisata kuliner di Jogja memang tak ada habisnya. Selama 24 jam ada makanan yang bisa memanjakan lidah. Termasuk kuliner malamnya yang enak dan murah meriah. https://t.co/V9gtFaRU2M,detikcom,positif
1.48E+18,"Pgn deh sekali2 hunting kuliner gt d jogja, enggaa coffeeshop hopping mulu☹️",tikaayul,netral
1.48E+18,Saran kuliner/tempat wisata di jogja dongg hihi,fiaschce,netral
1.48E+18,Sate klathak pak pong kuliner mainstream wisatawan ke jogja . https://t.co/ngx265DQou,vicky_achmad,netral
1.48E+18,"5 Kuliner Malam Jogja, Bisa Makan Enak dan Murah Hingga Dini Hari https://t.co/b8SpsXkbc0",detikfood,positif
1.48E+18,kemaren nemu list kuliner jogja lengkap lupa di bookmark ajg sebel,Zydnie8,negatif
1.48E+18,Orderan gofuut pertama di 2022 fess bersyukur bgt tiap ada yg beli baik yg dateng lgsg maupun via appps. Aku doakan semoga kita semua para pejuang umkm kuliner bisa semakin laris di tahun ini. From es cendol SI GEBOY jogja 💚 https://t.co/k5DlOVfJN1,FFOODFESS,positif
1.48E+18,"@sinemasisifus @ninowahyu tempat apa no yg bisa dikunjungi di solo? Kalo di jogja kan banyaaak tuh destinasi wisata dan kuliner, kalo solo, wisatanya apa? Pgn ke jogja tp agak serem sama klitih ini",koremoonksjin,positif
1.48E+18,"@araaichi U tau kan rumahku di pusat Kota Jogja, 2 menit dari Keraton, 3 menit dari stasiun Lempuyangan, 5 menit dari Malioboro, dekat dengan halte Trans Jogja, pasar, supermarket, mall, rumah sakit, sekolah dan pusat kuliner + hiburan. Ada saran yang lebih kotaan dikit gak...",omwiki,netral
1.48E+18,Lotis Gunung Kidul | Rujak paduan eksotik jambu mete andalan Gunung Kidul yang memiliki rasa sepat asam dan daun pepaya dengan rasa pahitnya. | #Jogja #kuliner https://t.co/VEk8Hg9jOE,infobudaya,netral
1.48E+18,"@mardiasih Pengin solo travel ke Jogja, mampir ke beberapa toko buku, ke Jogja galery, jalan jalan nyoba kuliner disana",IyaLinda_,netral
1.48E+18,"@sinemasisifus Klitih itu trjd diatas jam 12 saat jalan sepi. Brani braksi saat rame = bnh diri. Jogja aman² aja. Wisata, kuliner? https://t.co/X4oBeF76nU",satria_preda,netral
1.48E+18,@wikan_bagas @sinemasisifus solo kuliner nya lebih murah dari jogja pokonya,priecehoney,positif
1.48E+18,Baru saja mengirim foto @ Taman Kuliner Condongcatur https://t.co/YCPM27RQPg,haohao_jogja,netral
1.48E+18,"Makan enak dengan pengalaman beda itu di sini kepik sawah, resto pengilon, watoe gadjah, marisini coffee #kanaljogja #makanenak #kulinerjogja https://t.co/4xPrmR9r4H",kanaljogja,positif
1.48E+18,"klo masalah makanan, jogja vs solo ya menang solo kemana2 hahahaa. Kuliner solo lbh progresif &amp; mampu menyesuaikan lidah dgn kultur belanda, jd variasi makanan lbh byk drpd jogja ygb""jawa bgt"". Ni ada hubungannya ma sejarah krn mmg kan dl kraton solo ""lbh lunak"" ke belanda gt.",2k80525,positif
1.48E+18,Baru saja mengirim foto @ Taman Kuliner Condongcatur https://t.co/EPxzGXkyzP,haohao_jogja,netral
1.48E+18,"Mie Kopyok Mbah Waji, Kuliner Nikmat Legendaris di Jogja https://t.co/MFIqRQUu2T",dityatuxlin,positif
1.48E+18,"Jog ku mas ndutan hobi kulineran, siapa yg mau mutual kita kuliner bareng jogja-solo",jogjamnfs,netral
1.48E+18,"Ingin wisata kuliner di Jogja , tapi bertabrakan dengan wisata kuliner rumah Jogja by mama 🤣",LevijulioS,negatif
1.48E+18,"@NepHanep Rekomendasi kuliner jogja lur, aku otw jogja iki",agusbudiprayoga,netral
1.48E+18,Bbrp hari ini mantengin akun kuliner di jogja berasa ditantang nyobain semua. Cobaan macam apa ini,tikkaa,netral
1.48E+18,"@javafoodie_ Ya allah menggoda, kalau ke jogja lagi ntar mau wisata kuliner aja dah wkwk",Philiiaa,netral
1.48E+18,Kuliner Yogyakarta Ini Wajib Kalian Coba! Bahkan Rasanya Seperti Belum Ke Jogja Kalau Belum Mencicipinya! - https://t.co/ACpVjajEWY https://t.co/ypyelnCLge,idbcpr,netral
1.48E+18,"Emg tetep paling ga masuk akal harga kuliner di jogja, bersahabat banget:))",kankankaaann,positif
1.48E+18,"Info kuliner jogja, barengan juga boleh",electrohead__,netral
1.48E+18,Hari ini masih ada yang hunting kuliner di Jogja ? #sewamobilyogya #wisatakuliner https://t.co/qqRrgO06Nr,SewaMobilYogya,netral
1.48E+18,KULINER!! Mampir ke twitter nya mas @IndraMenus aja utk rekomendasi2 mantap kuliner Jogja.,ganjarhead,positif
